907680	eng	Whatsoever therefore is consequent to a time of Warre, where every man is Enemy to every man; the same is consequent to the time, wherein men live without other security, than what their own strength, and their own invention shall furnish them withall. In such condition, there is no place for Industry; because the fruit thereof is uncertain; and consequently no Culture of the Earth; no Navigation, nor use of the commodities that may be imported by Sea; no commodious Building; no Instruments of moving, and removing such things as require much force; no Knowledge of the face of the Earth; no account of Time; no Arts; no Letters; no Society; and which is worst of all, continuall feare, and danger of violent death; And the life of man, solitary, poore, nasty, brutish, and short.	Scott	2011-05-25 03:55:49	2011-05-25 03:55:49
1160223	eng	Here, you have translated from the sentence in < the language you have translated from > and you created a link to that one. I think this is the sentence in < the language you want to translate from > that you wanted to translate. To do this, you must first click on the sentence in < the language you want to translate from > before clicking on the translation button. The sentence that you are translating must ALWAYS stand on top of the pile (in the largest typeface) and it is the only one visible at the time you're editing your translation, and that is on purpose to avoid influence on your translation, as in Tatoeba, sentences are linked by twos, not as blocks, since a sentence may have several different translations in the same language!	sacredceltic	2011-10-07 17:47:10	2011-12-06 18:09:59
4989135	eng	The King had hardly made a few steps to the door when he was startled by Morshu's mean laughter. The trickster merchant jumped out from behind the couch. "I got you on camera! I got you on camera!" he grinned triumphantly. "Me too," Ganon appeared next. "Hey, that's not nice!" the King cried frustratedly. "Give me that!" Morshu easily dashed a few attempts to snatch the camera. "Oh no, King, we're already putting this on YouTube!" Ganon gloated. "For the lulz!" "The lulz!" Morshu joined. "No, please, no!" the King beat his fists against the floor in despair. "Stop it, stop the uploading! Please, PLEASE!" "Hehehe," Ganon had the smuggest smirk on his face, "this is better entertainment than stealing offering money!"	Ooneykcall	2016-03-18 21:46:53	2016-03-18 21:46:53
5526828	eng	There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, "Oh dear! Oh dear! I shall be too late!" (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural;) but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and, burning with curiosity, she ran across the field after it, and was just in time to see it pop down a large rabbit-hole under the hedge.	mailohilohi	2016-10-18 06:53:35	2016-10-18 06:53:35
5553151	eng	Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her, and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything: then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves: here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled "ORANGE MARMALADE," but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody underneath, so managed to put it into one of the cupboards as she fell past it.	mailohilohi	2016-10-26 19:06:25	2016-10-26 19:06:25
6211476	eng	There is a revolution coming. It will not be like revolutions of the past. It will originate with the individual and with culture, and it will change the political structure only as its final act. It will not require violence to succeed, and it cannot be successfully resisted by violence. It is now spreading with amazing rapidity, and already our laws, institutions and social structure are changing in consequence. It promises a higher reason, a more human community, and a new and liberated individual. Its ultimate creation will be a new and enduring wholeness and beauty — a renewed relationship of man to himself, to other men, to society, to nature, and to the land. This is the revolution of the new generation.	Hybrid	2017-08-26 14:11:00	2017-08-26 16:41:00
6310209	eng	It has been said there is nothing appertaining to life upon the broad plain. That is hardly true. Looking down from the Sierra Blanco, one sees a pathway traced out across the desert, which winds away and is lost in the extreme distance. It is rutted with wheels and trodden down by the feet of many adventurers. Here and there there are scattered white objects which glisten in the sun, and stand out against the dull deposit of alkali. Approach and examine them! They are bones: some large and coarse, others smaller and more delicate. The former have belonged to oxen, and the latter to men. For fifteen hundred miles one may trace this ghastly caravan route by these scattered remains of those who had fallen by the wayside.	Hybrid	2017-09-16 16:37:48	2017-09-16 16:37:48
6364117	eng	Understood in its totality, the spectacle is both the result and the goal of the dominant mode of production. It is not a mere decoration added to the real world. It is the very heart of this real society's unreality. In all of its particular manifestations — news, propaganda, advertising, entertainment — the spectacle represents the dominant model of life. It is the omnipresent affirmation of the choices that have already been made in the sphere of production and in the consumption implied by that production. In both form and content the spectacle serves as a total justification of the conditions and goals of the existing system. The spectacle also represents the constant presence of this justification since it monopolizes the majority of the time spent outside the production process.	shekitten	2017-10-04 13:13:47	2019-04-04 17:09:00
6395940	eng	We remarked with pain that the indecent foreign dance called the Waltz was introduced (we believe for the first time) at the English court on Friday last ... it is quite sufficient to cast one's eyes on the voluptuous intertwining of the limbs and close compressure on the bodies in their dance, to see that it is indeed far removed from the modest reserve which has hitherto been considered distinctive of English females. So long as this obscene display was confined to prostitutes and adulteresses, we did not think it deserving of notice; but now that it is attempted to be forced on the respectable classes of society by the civil examples of their superiors, we feel it a duty to warn every parent against exposing his daughter to so fatal a contagion.	Hybrid	2017-10-25 01:00:32	2017-10-25 01:00:32
6841089	eng	Systems in which the rules are based on usage, such as languages or customary law, are condemned to become absurd, cumbersome and contradictory, since every time a small error slips into one of their usages, it is integrated into the rules, by definition, for eternity. The more users are ignorant, the more systems degrade rapidly. English, poorly used by millions of people, natives or not, for centuries, is an example of the degradation of a system at terminal stage, no longer presenting any logic, neither in its syntax, nor its grammar, nor its vocabulary or its pronunciation. Similarly, with customary rights becoming too cumbersome and incomprehensible, the states which rely on them tend to switch to prescriptive law.	kaiperkins271	2018-04-17 01:31:52	2018-04-17 01:32:44
