1415	n	I don't like it when mathematicians who know much more than I do can't express themselves explicitly.	Ich mag es nicht, wenn Mathematiker, die viel mehr wissen als ich, sich nicht klar ausdrücken können.	Ich mag es nicht, wenn Mathematiker, die viel mehr wissen als ich, sich nicht klar ausdrücken können.	Ich mag es nicht, wenn Mathematiker, die viel mehr als ich wissen, sich nicht genau ausdrücken können.
1502	n	I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.	Ich wünschte, ich könnte mir mehr um meine Noten Sorgen machen, aber es scheint, dass ich an einem bestimmten Punkt in meinem Leben entschieden habe, dass sie nicht mehr so wichtig sein würden.	Ich wünschte, ich könnte mir mehr um meine Noten Sorgen machen, aber es scheint, dass ich an einem bestimmten Punkt in meinem Leben entschieden habe, dass sie nicht mehr so wichtig sein würden.	Ich wünschte, ich könnte mir mehr aus Noten machen, aber scheinbar habe ich an einem gewissen Punkt in meinem Leben entschieden, dass es nicht mehr so wichtig sei.
1623	n	The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.	Der verpflichtende Charakter der Schulausbildung wird selten in der Vielzahl von Arbeiten analysiert, die der Erforschung der verschiedenen Wege gewidmet sind, bei Kindern den Wunsch zu lernen zu entwickeln.	Der verpflichtende Charakter der Schulausbildung wird selten in der Vielzahl von Arbeiten analysiert, die der Erforschung der verschiedenen Wege gewidmet sind, bei Kindern den Wunsch zu lernen zu entwickeln.	Die Verpflichtung zum Schulbesuch wird selten analysiert in der Vielzahl der Werke, die den mannigfaltigen Arten gewidmet sind, bei Kindern den Wunsch zu lernen zu entwickeln.
1684	n	If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.	Wenn du keine Sonnencreme auftragen willst, ist das dein Problem. Beschwere dich aber nicht bei mir, wenn du einen Sonnenbrand bekommst.	Wenn du keine Sonnencreme auftragen willst, ist das dein Problem. Beschwere dich aber nicht bei mir, wenn du einen Sonnenbrand bekommst.	Wenn du dich nicht mit Sonnencreme eincremen willst, ist das deine Sache. Aber beschwer' dich später nicht bei mir, wenn du Sonnenbrand hast.
1695	n	Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.	Mathematik ist der Teil der Wissenschaft, den du weiterhin betreiben könntest, wenn du morgen aufwachen würdest und entdecken würdest, dass das Universum verschwunden ist.	Mathematik ist der Teil der Wissenschaft, den du weiterhin betreiben könntest, wenn du morgen aufwachen würdest und entdecken würdest, dass das Universum verschwunden ist.	Die Mathematik ist der Teil der Wissenschaft, den man weiter betreiben könnte, wenn man morgen aufwachen würde und entdecken würde, dass das Universum weg ist.
1728	e	When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.	Wenn der Körper berührt wird, senden Rezeptoren in der Haut Nachrichten an das Gehirn, was zur Freisetzung von Chemikalien wie Endorphinen führt.	Wenn der Körper berührt wird, senden Rezeptoren in der Haut Nachrichten an das Gehirn, was zur Freisetzung von Chemikalien wie Endorphinen führt.	Wenn der Körper berührt wird, schicken Rezeptoren in der Haut Nachrichten zum Gehirn und verursachen die Ausschüttung von chemischen Stoffen wie Endorphinen.
1735	e	The French government has launched an online game that challenges taxpayers to balance the national budget.	Die französische Regierung hat ein Online-Spiel gestartet, das die Steuerzahler herausfordert, den nationalen Haushalt auszugleichen.	Die französische Regierung hat ein Online-Spiel gestartet, das die Steuerzahler herausfordert, den nationalen Haushalt auszugleichen.	Die französische Regierung hat ein Online-Spiel auf den Markt gebracht, das Steuerzahler auffordert, den Staatshaushalt auszugleichen.
1794	n	Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.	Mathematiker sind wie Franzosen: Was auch immer Sie ihnen sagen, sie übersetzen es in ihre eigene Sprache und verwandeln es in etwas völlig anderes.	Mathematiker sind wie Franzosen: Was auch immer Sie ihnen sagen, sie übersetzen es in ihre eigene Sprache und verwandeln es in etwas völlig anderes.	Die Mathematiker sind eine Art Franzosen: redet man zu ihnen, so übersetzen sie es in ihre Sprache, und dann ist es alsobald ganz etwas anders.
1795	n	An expert is someone who knows some of the worst mistakes that can be made in his field, and how to avoid them.	Ein Experte ist jemand, der einige der schlimmsten Fehler kennt, die in seinem Bereich gemacht werden können, und weiß, wie man sie vermeidet.	Ein Experte ist jemand, der einige der schlimmsten Fehler kennt, die in seinem Bereich gemacht werden können, und weiß, wie man sie vermeidet.	Ein Experte ist jemand, der die schlimmsten Fehler kennt, die in seinem Gebiet gemacht werden können und weiß, wie man sie vermeidet.
1799	e	Nowadays we want our children to make their own decisions, but we expect those decisions to please us.	Heutzutage wollen wir, dass unsere Kinder ihre eigenen Entscheidungen treffen, aber wir erwarten, dass diese Entscheidungen uns gefallen.	Heutzutage wollen wir, dass unsere Kinder ihre eigenen Entscheidungen treffen, aber wir erwarten, dass diese Entscheidungen uns gefallen.	Heutzutage wollen wir, dass unsere Kinder ihre eigenen Entscheidungen treffen, aber wir erwarten, dass uns diese Entscheidungen passen.
